Company,Industry,Country,Founded_Year,Funding_Stage,Total_Funding_M,Revenue_M,Employee_Count,Customer_Count,ARPU,Monthly_Churn_Rate,Revenue_Growth_Pct,Is_Profitable
StartupCo_050,Logistics,Germany,2012,Series C,145.74,194.73,1374,44558,3994.75,32.86,99.27,0
StartupCo_051,Cybersecurity,Brazil,2008,Series C,177.61,331.67,176,42173,2154.49,39.14,13.62,1
StartupCo_052,Biotech,Australia,2011,Series C,98.12,380.73,781,18285,3765.01,37.6,22.8,0
StartupCo_053,Logistics,USA,2019,Growth,15.72,475.98,464,42657,361.72,43.12,-4.77,0
StartupCo_054,EdTech,Germany,2021,Seed,186.44,119.65,974,43923,589.66,42.7,50.45,1
StartupCo_055,SaaS,India,2017,Growth,289.12,359.32,1597,10782,4824.31,5.76,-6.66,1
StartupCo_056,Cybersecurity,Singapore,2014,Pre-IPO,59.58,296.25,1706,41156,1229.39,31.68,29.21,0
StartupCo_057,Cybersecurity,USA,2013,Growth,128.57,,1041,42487,1719.33,38.38,96.9,0
StartupCo_058,Biotech,Australia,2018,Series C,212.22,218.03,1507,34243,4828.06,12.88,95.07,1
StartupCo_059,Logistics,Singapore,2021,Pre-IPO,177.78,161.49,507,5729,1409.06,20.84,87.56,1
StartupCo_060,SaaS,USA,2015,Series B,54.63,106.45,1638,16981,1714.89,39.73,81.15,1
StartupCo_061,AI/ML,USA,2016,Series A,25.78,360.18,1005,36434,3795.66,31.39,73.97,1
StartupCo_062,Logistics,USA,2009,Series B,66.56,346.05,632,43563,2916.15,21.82,59.02,1
StartupCo_063,AI/ML,Australia,2013,Pre-IPO,136.18,153.66,477,7957,3612.0,14.88,86.57,0
StartupCo_064,EdTech,Germany,2019,Series C,83.02,295.0,1561,34432,2992.02,44.14,98.24,1
StartupCo_065,EdTech,Australia,2010,Series B,4.34,267.3,566,3032,4871.99,25.35,80.66,0
StartupCo_066,Logistics,UK,2021,Seed,172.26,234.96,907,22378,938.13,3.26,112.34,1
StartupCo_067,Healthcare,UK,2014,Series C,22.32,314.91,114,9993,763.0,25.76,29.5,0
StartupCo_068,Healthcare,Brazil,2020,Series C,181.93,395.48,467,34297,1914.28,40.97,28.66,1
StartupCo_069,E-commerce,Israel,2017,Seed,182.93,370.17,1945,13667,3135.06,12.64,0.55,0
StartupCo_070,Fintech,Brazil,2009,Series A,0.9,225.53,1221,30846,1470.47,11.18,81.9,1
StartupCo_071,Healthcare,Germany,2022,Series B,236.37,312.72,1359,13014,2137.19,24.96,74.19,1
StartupCo_072,Fintech,UK,2008,Series A,237.81,297.72,1693,37353,4607.54,20.32,50.93,1
StartupCo_073,Biotech,Canada,2016,Growth,148.19,40.68,86,28363,3677.98,27.56,-6.64,0
StartupCo_074,Cybersecurity,Israel,2008,Pre-IPO,246.44,288.34,1567,49612,892.45,23.83,47.49,1
StartupCo_075,Fintech,Israel,2014,Pre-IPO,244.29,484.54,967,22853,2053.57,15.13,3.6,0
StartupCo_076,SaaS,Singapore,2019,Series C,86.54,472.62,1671,49890,2759.48,21.01,30.89,1
StartupCo_077,Healthcare,Singapore,2021,Growth,247.5,1.07,1785,35609,2320.64,3.38,57.4,1
StartupCo_078,Logistics,USA,2011,Series B,164.81,463.87,902,45810,2433.86,2.27,71.9,0
StartupCo_079,Fintech,Canada,2016,Seed,165.72,47.06,1728,7485,2318.01,6.17,98.18,1
StartupCo_080,E-commerce,Brazil,2019,Series B,124.71,241.51,972,16023,2294.8,7.36,14.78,0
StartupCo_081,Healthcare,Canada,2020,Series C,102.03,393.96,552,218,1428.54,14.14,66.3,1
StartupCo_082,Fintech,France,2016,Series C,103.6,276.18,1117,24770,2287.62,15.16,14.52,0
StartupCo_083,Cybersecurity,Singapore,2011,Series C,13.19,372.48,1449,25034,1942.67,30.2,96.7,0
StartupCo_084,Logistics,USA,2010,Growth,289.61,166.33,210,28905,516.56,41.06,-8.0,0
StartupCo_085,Biotech,India,2009,Series C,234.48,132.88,1281,45447,1999.47,4.53,32.71,1
StartupCo_086,SaaS,France,2021,Growth,10.87,34.68,1297,44902,4606.23,44.89,87.08,1
StartupCo_087,Healthcare,UK,2015,Series A,208.23,451.76,99,21308,3984.79,13.91,38.73,0
StartupCo_088,EdTech,Brazil,2014,Growth,204.57,,363,5225,3055.27,17.83,78.81,1
StartupCo_089,Cybersecurity,India,2011,Series C,191.41,230.06,1370,665,4496.56,21.47,27.39,0
StartupCo_090,Healthcare,France,2013,Growth,89.82,481.03,1418,16440,2295.04,14.29,119.92,1
StartupCo_091,Healthcare,Germany,2014,Growth,107.75,148.29,1437,19398,129.26,37.52,41.45,0
StartupCo_092,Cybersecurity,USA,2022,Growth,223.58,416.5,1854,18806,3883.19,11.13,94.25,0
StartupCo_093,EdTech,Israel,2012,Pre-IPO,226.7,383.85,1399,9013,3148.68,40.75,74.02,1
StartupCo_094,Logistics,USA,2017,Series B,219.73,45.52,609,21461,3742.45,8.73,7.18,1
StartupCo_095,AI/ML,Brazil,2022,Series B,249.16,128.86,1693,31628,4837.57,13.99,103.15,0
StartupCo_096,Logistics,UK,2010,Series A,258.06,362.25,818,36574,1841.56,35.79,-8.19,0
StartupCo_097,Logistics,Australia,2018,Pre-IPO,201.74,292.49,1689,41897,4702.65,5.77,20.4,0
StartupCo_098,Cybersecurity,Brazil,2013,Growth,66.49,32.08,1692,30476,4548.75,14.3,43.08,0
StartupCo_099,Technology,USA,2012,Series C,34.92,117.78,1105,8940,1955.46,17.32,113.42,1
StartupCo_100,Cybersecurity,India,2022,Series C,196.51,416.93,1265,26796,4696.48,13.31,79.74,0
